"node","estimated"
"mrcaott100ott3239",108
"mrcaott100ott62459",96
"mrcaott100ott2624",89
"mrcaott2624ott4406",94
"mrcaott2624ott9944",69
"mrcaott19584ott19587",56
"mrcaott4777ott59111",51
"mrcaott4777ott21220",51
"mrcaott6725ott7379",37
"Spodoptera ott742361",19.6
"Bombycoidea ott596647",89
"mrcaott4406ott4577",73
"Sphingidae ott598255",45
"mrcaott4406ott24223",38
"mrcaott4406ott8971",15.1
"mrcaott8971ott181793",15.2
"mrcaott75012ott199701",33
"mrcaott3093521ott3093797",25.3
"Saturniidae ott167940",39
"mrcaott4577ott7895",46
"mrcaott28603ott413594",23.8
"Crambidae ott271925",69
"mrcaott3239ott8963",108
"mrcaott3239ott5088",106
"mrcaott3239ott23953",83
"mrcaott8541ott31364",92
