"validName","species","max_lat","min_lat","med_lat","bio1_range","bio1_sd","bio1_mean","dietBreadth","voltinism","minWingspan","maxWingspan","notes","geoPF","notes.1","X"
"Acrolophus arcanella","Acrolophus arcanella",42.4324038,30.1986441,38.6285565,23.21666765,4.25480335,13.50312012,"unk","multi",13,16,"TL","","",""
"Acrolophus forbesi","Acrolophus forbesi",32.5262223,27.2025,29.707171,6.5,1.831491582,20.58310823,"unk","uni",16,18,"WS","p","",""
"Acrolophus heppneri","Acrolophus heppneri",30.5234202,27.3169588,30.09823,8.0625,1.414275681,20.51781439,"multiFamily","multi",7,12,"TL","","",""
"Acrolophus mycetophagus","Acrolophus mycetophagus",35.1831851,29.6261606,30.4545485,13.85000038,1.971739432,18.84554945,"Bracket Fungi","multi",7,13,"TL","p","",""
"Acrolophus plumifrontella","Acrolophus plumifrontella",40.32568,29.7196536,35.3521,17.54166698,3.444998309,15.36173797,"unk","multi",14,16,"TL","","",""
"Acrolophus texanella","Acrolophus texanellus",36.0439534,27.8805309,30.6018085,17.74166584,2.82773013,18.43743514,"Family","multi",11,13,"TL","p","missing?","Acrolophus texanellus"
"Acronicta afflicta","Acronicta afflicta",42.707193,30.382213,36.354,18.98333263,4.483859072,13.77415965,"Genus","multi",18,22,"TL","p","",""
"Acronicta americana","Acronicta americana",45.3874795,35.4088645,41.3760355,24.65416747,3.76597324,9.922298224,"multiFamily","multi",27,38,"TL","p","",""
"Acronicta oblinita","Acronicta oblinita",45.3701214,34.6181682,41.247291,27.20833325,4.339474166,10.55780623,"multiFamily","multi",20,28,"TL","p","",""
"Acronicta rubicoma","Acronicta rubricoma",40.5006407,29.2356741,30.5716745,18.00000048,4.078130259,17.11757847,"multiFamily","multi",20,24,"TL","p","missing?","Acronicta rubricoma"
"Acronicta vinnula","Acronicta vinnula",44.5715994,30.0982048,34.236206,20.82500029,5.238110963,14.31158156,"Family","multi",15,17,"TL","p","",""
"Actias luna","Actias luna",45.1722719,31.2430383,38.562246,25.39583266,5.002328096,12.07090802,"multiFamily","multi",75,105,"WS","p","",""
"Aglossa caprealis","Aglossa caprealis",52.075706,36.9758,43.781588,18.56250048,3.431323042,12.19643169,"multiFamily","multi",12,14,"TL","p","",""
"Agrotis ipsilon","Agrotis ipsilon",57.326488,33.941782,47.37795,38.66250038,4.096596845,9.810498268,"multiFamily","multi",21,24,"TL","p","",""
"Allotria elonympha","Allotria elonympha",41.0984202,32.5741371,37.2454475,22.32083291,2.954063912,13.42785014,"Genus","multi",18,24,"TL","p","",""
"Amolita fessa","Amolita fessa",45.159928,30.3177261,42.467745,21.92499948,4.843126582,9.911367066,"Family","multi",13,17,"TL","p","",""
"Amolita obliqua","Amolita obliqua",34.934,27.18,30.48495,9.449999809,2.528256233,19.04197653,"unk","multi",9,11,"TL","","",""
"Amorpha juglandis","Amorpha juglandis",43.3136798,29.8305316,35.4910555,22.98750073,4.89094261,14.43675834,"multiFamily","multi",30,40,"TL","p","",""
"Amphipyra pyramidoides","Amphipyra pyramidoides",45.383478,35.829253,42.277778,23.93333375,3.6132221,9.557639912,"multiFamily","multi",23,28,"TL","p","",""
"Amyna stricta","Amyna stricta",33.0659552,26.5767127,30.24481,23.31666708,2.925934838,19.47749054,"multiFamily","multi",12,14,"TL","p","",""
"Anavitrinella pampinaria","Anavitrinella pampinaria",44.9027008,32.4887221,40.610722,25.38749966,4.467589773,11.14060194,"multiFamily","multi",23,34,"WS","","",""
"Anicla infecta","Anicla infecta",39.078,27.231,32.8497,27.15833,3.84,17.6855,"multiFamily","multi",17,20,"TL","","",""
"Anisota virginiensis","Anisota virginiensis",44.6374225,28.0606701,32.869019,23.79166645,6.236096,15.923281,"Genus","multi",20,35,"TL","p","",""
"Anomis illita","Anomis illita",30.0982302,8.7427866,10.990357,26.70416743,3.860350289,22.34262519,"Family","multi",16,18,"WS","p","",""
"Antheraea polyphemus","Antheraea polyphemus",46.3170048,29.7810886,39.11766,29.27083278,5.603338887,12.50721371,"multiFamily","multi",100,150,"WS","p","",""
"Anticarsia gemmatalis","Anticarsia gemmatalis",39.4255293,10.4419144,30.417926,25.08750057,4.809325719,18.15409881,"multiFamily","multi",33,40,"WS","p","",""
"Apantesis nais","Apantesis nais",44.5483096,33.3617346,40.254208,22.42499888,4.096765372,11.49626311,"multiFamily","multi",16,22,"TL","","",""
"Apantesis phalerata","Apantesis phalerata",43.3814989,27.6490201,38.7101275,23.69583368,5.285031261,13.72685017,"multiFamily","multi",16,22,"TL","","",""
"Apantesis vittata","Apantesis vittata",40.4978452,29.6049742,34.458197,20.512501,3.8788637,16.28951949,"multiFamily","multi",16,22,"TL","","",""
"Apoda rectilinea","Apoda rectilinea",32.2451833,27.2093,29.6683695,8.970833778,2.015680312,20.46139944,"unk","multi",10,12,"TL","p","",""
"Apoda y-inversa","Apoda y-inversa",42.9914484,30.8374392,36.74,19.87916613,4.30963901,13.60548954,"multiFamily","multi",11,15,"TL","p","",""
"Argyrogramma verruca","Argyrogramma verruca",35.898017,10.3310369,29.799551,24.63750052,4.1968408,19.91052157,"multiFamily","multi",16,19,"TL","p","",""
"Argyrostrotis anilis","Argyrostrotis anilis",45.0870646,31.5164844,36.439203,21.55416653,4.878902276,13.03218086,"multiFamily","multi",15,20,"TL","p","",""
"Argyrostrotis flavistriaria","Argyrostrotis flavistriaria",34.75742,30.1384126,30.720324,6.337500572,1.281678801,18.71666671,"Species","multi",15,17,"TL","p","",""
"Artace cribrarius","Artace cribrarius",39.6857588,27.6490298,35.1484375,18.21250057,4.320818246,16.21118406,"multiFamily","multi",14,31,"TL","p","",""
"Automeris io","Automeris io",44.442519,26.118997,35.54977,28.29166698,5.981888163,14.83282479,"multiFamily","multi",50,80,"WS","","",""
"Bellura gortynoides","Bellura gortynoides",46.311925,28.4384636,41.990885,22.20000052,6.093678494,10.9112455,"Species","multi",19,27,"TL","p","",""
"Bellura obliqua","Bellura obliqua",49.60852,41.056462,44.947506,24.61249983,3.903563099,7.191429431,"Genus","multi",22,28,"TL","p","",""
"Blepharomastix ranalis","Blepharomastix ranalis",43.1142461,30.6375772,37.828274,21.22916698,4.391469116,13.02934894,"Genus","multi",16,20,"WS","p","",""
"Caenurgia chloropha","Caenurgia chloropha",35.827496,29.0373148,32.521389,19.27083349,2.762329995,18.04198875,"multiFamily","multi",17,22,"TL","p","",""
"Callopistria cordata","Callopistria cordata",46.9174708,34.7990711,44.710169,23.47916758,4.376640559,7.456334157,"multiFamily","multi",15,16,"TL","p","",""
"Callopistria floridensis","Callopistria floridensis",42.0116545,9.0320855,27.5476895,22.79166603,5.575134069,19.26781552,"multiFamily","multi",15,16,"TL","p","",""
"Callopistria granitosa","Callopistria granitosa",34.79566,28.30063508,30.711,10.85833263,2.104204768,19.06872215,"multiFamily","multi",15,15,"TL","p","",""
"Callopistria mollissima","Callopistria mollissima",45.8897074,35.5444782,43.1319065,20.73749912,3.75466474,8.461189312,"multiFamily","multi",15,15,"TL","p","",""
"Catocala amica","Catocala amica",42.831082,29.864516,39.9581,19.5333333,4.682203152,13.10191083,"Genus","uni",17,24,"TL","p","",""
"Catocala andromedae","Catocala andromedae",42.37899614,31.3483106,40.64727,16.63749886,3.898005892,12.223536,"Family","uni",22,24,"TL","p","",""
"Catocala clintonii","Catocala clintonii",44.3753292,29.7402168,34.653,20.84166658,4.969974569,14.53571424,"multiFamily","uni",25,29,"TL","p","",""
"Catocala connubialis","Catocala connubialis",43.3419951,30.5297884,39.2938945,19.10416698,4.60876375,12.79204766,"Genus","uni",20,25,"TL","p","",""
"Catocala ilia","Catocala ilia",43.6330966,30.2637466,38.764416,24.98750067,4.521195804,12.82479382,"Genus","uni",34,45,"TL","p","",""
"Catocala lacrymosa","Catocala lacrymosa",40.4003055,33.1914724,36.123104,14.22916603,2.596746561,14.40409873,"Genus","uni",32,43,"TL","p","",""
"Catocala lineella","Catocala lineella",43.6989166,30.4182855,41.334665,18.6916666,4.445435381,11.5957752,"Genus","uni",22,24,"TL","p","",""
"Catocala micronympha","Catocala micronympha",41.9921,29.614302,32.878355,18.5333333,4.672342355,15.69521038,"genus","single",17,26,"TL","","",""
"Catocala piatrix","Catocala piatrix",43.3705282,32.8457775,39.292034,19.40833378,3.52684867,12.16817377,"Family","uni",36,44,"TL","p","",""
"Catocala similis","Catocala similis",43.7540623,29.7190999,39.8940895,18.96249962,5.043019075,13.03466446,"genus","single",20,25,"TL","","",""
"Celiptera frustulum","Celiptera frustulum",41.8961195,32.524259,36.7436565,19.90416574,3.477810594,13.68009758,"Species","multi",19,21,"TL","p","",""
"Ceratomia undulosa","Ceratomia undulosa",45.5502639,31.7123285,42.658817,33.8166666,5.256108466,9.934677856,"multiFamily","multi",45,60,"TL","p","",""
"Ceratonyx satanaria","Ceratonyx satanaria",34.986358,29.669394,32.803906,11.02916622,2.224844462,17.57241605,"Genus","uni",22,24,"TL","p","",""
"Tecmessa scitiscripta","Cerura scitiscripta",45.6490328,33.9309507,40.740035,18.36250079,4.591491221,11.10374995,"Family","multi",15,22,"TL","p","missing?","Cerura scitiscripta"
"Chaetaglaea tremula","Chaetaglaea tremula",42.5290904,30.4044196,40.0144,16.57916641,4.101659795,12.54969882,"multiFamily","uni",20,22,"TL","p","",""
"Charadra deridens","Charadra deridens",45.5458216,31.9469968,39.109193,23.87500036,5.093667037,11.48308715,"multiFamily","multi",20,24,"TL","p","",""
"Cisseps fulvicollis","Cisseps fulvicollis",44.9028248,31.560553,40.438431,31.92500019,4.693590681,11.35727756,"multiFamily","multi",16,20,"TL","p","",""
"Citheronia sepulcralis","Citheronia sepulcralis",39.6533688,29.6685322,34.4646,16.91666651,3.587614554,15.90227419,"Genus","multi",70,135,"WS","p","",""
"Clemensia ochreata","Clemensia ochreata",33.2305478,29.43511,29.748575,8.004167557,1.665971998,19.50307028,"multiFamily","multi",10,13,"TL","p","",""
