"validName","species","max_lat","min_lat","med_lat","bio1_range","bio1_sd","bio1_mean","dietBreadth","voltinism","minWingspan","maxWingspan","notes","geoPF","notes.1","X"
"Clepsis peritana","Clepsis peritana",41.93,30.098431,33.881298,27.04166611,4.40297493,15.81985416,"multiFamily","multi",6,8,"TL","p","micromoth?",""
"Colobochyla interpuncta","Colobochyla interpuncta",44.3379853,29.7733457,34.7691,21.39999866,5.43757393,14.20781881,"Genus","multi",11,13,"TL","p","",""
"Condica confederata","Condica confederata",38.9597406,19.6697531,30.535031,15.6291666,3.653656355,18.85814734,"Species","multi",18,22,"TL","p","",""
"Condica mobilis","Condica mobilis",34.8742793,4.9251593,25.8056795,20.1875,3.993633289,20.86666668,"Species","multi",15,22,"TL","p","",""
"Condica sutor","Condica sutor",39.21718,10.276723,29.818272,24.97083306,4.854187276,19.22521806,"Family","multi",16,18,"TL","p","",""
"Condica vecors","Condica vecors",44.3389678,32.2431294,39.257984,21.72916675,4.301335753,12.14561724,"Genus","multi",16,18,"TL","p","",""
"Condica videns","Condica videns",43.6978909,28.4342384,32.7634925,22.12499881,5.502581085,15.48133852,"Family","multi",13,18,"TL","p","",""
"Copivaleria grotei","Psaphida grotei",45.2165075,30.3502371,42.301796,20.87083316,5.467969823,10.76273147,"Genus","uni",21,21,"TL","p","",""
"Cosmosoma myrodora","Cosmosoma myrodora",30.898553,27.648976,29.937456,14.94166565,1.417770481,20.43547227,"Species","multi",30,35,"WS","p","",""
"Cossula magnifica","Cossula magnifica",35.3478658,29.3840566,32.574142,11.29166603,2.16031103,18.09540958,"multiFamily","uni",18,24,"TL","p","",""
"Costaconvexa centrostrigaria","Costaconvexa centrostrigaria",43.9248049,31.2699913,38.9262235,22.80833232,4.462412037,12.84009964,"multiFamily","multi",17,23,"WS","","",""
"Crambus satrapellus","Crambus satrapellus",38.679254,27.7316502,30.236111,15.36666679,3.403179719,19.00424529,"Family","multi",14,18,"TL","p","",""
"Cryptothelea gloverii","Cryptothelea gloverii",30.7059464,26.17728,28.059537,21.08333206,1.996332892,21.15738683,"multiFamily","multi",14,18,"WS","p","micromoth?",""
"Cutina aluticolor","Cutina aluticolor",34.84,29.668318,30.2224725,9.962500572,2.122749445,18.8494049,"Genus","multi",20,22,"WS","p","",""
"Cutina distincta","Cutina distincta",34.8644048,29.6683664,31.723056,12.72083378,2.105224719,18.45581589,"Genus","multi",12,14,"TL","p","",""
"Cyclophora myrtaria","Cyclophora myrtaria",36.07579,27.6910552,31.213551,17.49166679,3.06046619,18.5528418,"multiFamily","multi",24,27,"WS","p","",""
"Cymatophora approximaria","Cymatophora approximaria",34.441096,29.6682039,32.574141,9.075000763,1.706032052,18.0877133,"multiFamily","uni",34,51,"WS","p","",""
"Darapsa myron","Darapsa myron",43.4498245,30.3821806,38.2023285,25.22916637,4.50647558,13.15392336,"Family","multi",28,38,"TL","p","",""
"Dasychira manto","Dasychira manto",36.1340001,30.0142914,32.340334,11.25416756,2.449043003,17.54692038,"Genus","multi",17,26,"TL","p","",""
"Dasychira meridionalis","Dasychira meridionalis",35.4248532,25.8205844,29.660588,19.83333302,3.527475179,20.18126673,"Genus","multi",17,28,"TL","p","",""
"Dasychira tephra","Dasychira tephra",40.6511979,30.0982277,33.8256,20.84583282,3.790758104,15.93431361,"genus","multi",17,27,"TL","","",""
"Datana contracta","Datana contracta",42.89994599,32.7808787,39.297257,15.67083263,3.470086061,12.37035712,"multiFamily","multi",21,27,"TL","","",""
"Datana integerrima","Datana integerrima",43.297137,30.7166592,38.403047,18.19583368,4.172705266,13.24110146,NA,NA,NA,NA,NA,NA,NA,NA
"Datana major","Datana major",39.7354361,30.4323514,34.7948075,14.70416689,3.185780273,15.71114472,"Family","multi",21,27,"TL","","",""
"Datana ministra","Datana ministra",46.67368,34.556915,42.7737,22.90833275,4.735846514,9.141495167,NA,NA,NA,NA,NA,NA,NA,NA
"Datana ranaeceps","Datana ranaeceps",40.023661,28.9454618,33.166077,11.32083321,4.053630369,16.3803819,NA,NA,NA,NA,NA,NA,NA,NA
"Deidamia inscriptum","Deidamia inscriptum",44.3842132,30.2667296,41.255181,18.35000086,4.775523833,11.46562148,"Family","uni",25,38,"TL","p","",""
"Desmia maculalis","Desmia maculalis",44.123,32.416,38.89,26.958,4.21614,12.37,"multiFamily","multi",20,25,"WS","p","",""
"Desmia funeralis","Desmia funeralis",44.1228293,32.4162646,38.8923335,26.95833284,4.216147463,12.37456159,"multiFamily","multi",25,30,"WS","","",""
"Diacme adipaloides","Epipagis adipaloides",44.5315966,31.1840275,40.4937445,21.65416574,4.930598543,11.61436345,"unk","multi",18,20,"WS","p","",""
"Dioryctria amatella","Dioryctria amatella",35.069014,30.1554928,32.857026,11.58333302,1.902187055,17.81298071,"Species","multi",12,16,"TL","p","",""
"Disclisioprocta stellata","Disclisioprocta stellata",37.3916256,20.084887,32.978402,23.77500057,3.213868007,17.3303137,"multiFamily","multi",25,33,"WS","","",""
"Dolba hyloeus","Dolba hyloeus",43.428063,29.97733,34.624391,21.42916584,5.059620879,14.82326112,"multiFamily","multi",30,35,"TL","p","",""
"Dryocampa rubicunda","Dryocampa rubicunda",45.4941208,34.5030576,41.22078,23.29999989,4.263860156,10.01252128,"multiFamily","multi",26,28,"TL","p","",""
"Eacles imperialis","Eacles imperialis",44.1819445,19.441565,35.9992865,29.18333423,5.224796991,14.46088336,"multiFamily","multi",80,174,"WS","p","",""
"Ectropis crepuscularia","Ectropis crepuscularia",60.786685,42.6630114,52.013222,30.29166722,2.928749217,8.09731283,"multiFamily","multi",26,37,"WS","p","",""
"Elaphria chalcedonia","Elaphria chalcedonia",35.6243086,27.6489788,30.740232,21.14583302,3.023537541,18.58667853,"Genus","multi",12,14,"TL","p","",""
"Elaphria versicolor","Elaphria versicolor",46.119478,32.6849396,40.463806,21.46666706,4.79128471,10.62871251,"unk","multi",14,14,"TL","p","",""
"Ellida caniplaga","Ellida caniplaga",45.20012,35.7000004,42.631543,17.85416651,3.225079179,8.6135,"Genus","multi",19,24,"TL","p","",""
"Enigmogramma basigera","Enigmogramma basigera",39.2056666,27.6205838,30.448972,24.86666703,4.349965138,18.0041404,"Species","multi",16,19,"TL","p","",""
"Ephyrodes cacata","Ephyrodes cacata",28.2522744,7.1940082,11.03,13.82499981,2.473106022,23.71643084,NA,"uni",NA,NA,NA,"p","Ephyrodes implens",""
"Epidromia rotundata","Epidromia rotundata",30.4418429,19.3376831,27.8273445,12.82083321,2.51307981,22.41204779,"unk","multi",40,45,"WS","p","",""
"Epimecis hortaria","Epimecis hortaria",40.9274175,32.6849574,37.217436,18.07500029,2.896443702,13.51661567,"multiFamily","multi",43,57,"WS","","",""
"Euchlaena amoenaria","Euchlaena amoenaria",39.641989,32.5734866,35.829202,12.17083263,2.513293835,14.32079521,"unk","multi",30,50,"WS","","",""
"Euchlaena deplanaria","Euchlaena deplanaria",35.817422,30.023959,32.791813,15.40833282,2.906809488,17.18373659,"unk","multi",26,37,"WS","","",""
"Euchlaena madusaria","Euchlaena madusaria",51.9898,33.8835139,44.388055,25.13750041,5.199604084,8.526372922,"multiFamily","multi",26,37,"WS","p","",""
"Euchlaena obtusaria","Euchlaena obtusaria",50.66,31.8787954,39.09361,21.73333377,5.776250451,11.29919924,"multiFamily","multi",27,48,"WS","p","",""
"Euchlaena pectinaria","Euchlaena pectinaria",42.357155,31.5121267,35.8382395,17.90416694,3.710653955,13.86061696,"Genus","multi",30,49,"WS","p","",""
"Euclea delphinii","Euclea delphinii",44.8482202,30.9418454,41.139611,21.99583387,4.869519521,10.9633473,"multiFamily","multi",10,15,"TL","","",""
"Eudryas grata","Eudryas grata",44.3258113,35.2574602,40.164591,20.55416656,3.36452536,10.60588788,"Family","multi",24,24,"TL","p","",""
"Eulithis diversilineata","Eulithis diversilineata",44.477415,32.6609415,40.3925,22.28333396,4.16235226,11.31960456,"Family","multi",28,33,"WS","","",""
"Eupragia hospita","Eupragia hospita",33.81492,29.607048,30.442548,6.424999237,1.580080673,19.1300153,"unk","multi",9,11,"TL","p","",""
"Eusarca confusaria","Eusarca confusaria",44.7056384,33.3064419,40.275188,21.77916622,3.988034252,10.90221848,"Family","multi",30,40,"WS","","",""
"Eutrapela clemataria","Eutrapela clemataria",45.840839,32.5741306,40.582792,22.40000073,5.050969176,10.85905062,"multiFamily","multi",38,56,"WS","","",""
"Feltia subterranea","Feltia subterranea",37.530297,27.672249,32.813971,22.50833416,3.04025934,18.07961214,"multiFamily","multi",21,24,"TL","p","",""
"Galgula partita","Galgula partita",42.390899,29.895542,35.103354,24.78333271,4.403441862,15.42865228,"Genus","multi",11,13,"TL","p","",""
"Glena cribrataria","Glena cribrataria",42.3788948,32.5139446,35.977168,21.65833306,3.907867867,13.47367804,"multiFamily","multi",23,31,"WS","p","",""
"Glenoides texanaria","Glenoides texanaria",41.4833842,29.6685392,34.581582,17.0999999,4.284978266,15.14383556,"unk","multi",15,22,"WS","p","",""
"Halysidota tessellaris","Halysidota tessellaris",45.2001055,34.0243225,40.1844805,26.47083443,4.039290586,10.67219876,"multiFamily","multi",22,25,"TL","","",""
"Hammaptera parinotata","Hammaptera parinotata",32.3117361,26.1597576,29.8844185,14.75833416,1.954520326,20.20046143,"unk","multi",18,22,"WS","p","",""
"Harrisimemna trisignata","Harrisimemna trisignata",46.1435551,31.518691,41.8197355,23.35416652,5.19499063,10.19846126,"multiFamily","multi",17,20,"TL","p","",""
"Hemeroplanis scopulepes","Hemeroplanis scopulepes",35.0764056,10.86,28.664423,19.30000019,3.731587768,20.64215845,"Genus","multi",20,25,"WS","p","",""
"Herpetogramma bipunctalis","Herpetogramma bipunctalis",38.9871072,26.5767288,30.5726305,24.14583349,3.991621473,18.14220717,"multiFamily","single",23,25,"WS","","",""
"Herpetogramma fluctuosalis","Herpetogramma fluctuosalis",39.0566012,29.3125696,33.338136,15.97916698,3.14555666,17.1248925,"multiFamily","multi",22,25,"WS","","",""
"Herpetogramma phaeopteralis","Herpetogramma phaeopteralis",34.3018528,10.6230296,29.656116,25.95833278,3.984583753,20.40429173,"Family","multi",18,24,"WS","p","",""
"Herpetogramma theseusalis","Herpetogramma theseusalis",44.3314224,34.8923388,39.632496,17.28333378,4.119873955,11.55557357,"multiFamily","multi",29,35,"WS","p","missing?",""
"Heterocampa astarte","Heterocampa astarte",32.8145938,26.246926,29.534435,8.904166222,1.943649056,21.11265577,"unk","multi",24,26,"TL","p","",""
"Heterocampa biundata","Heterocampa biundata",45.98192836,33.163592,41.0381745,24.8458333,5.343486014,11.13410815,"multiFamily","multi",25,30,"TL","p","Cecrita biundata",""
"Heterocampa obliqua","Heterocampa obliqua",42.7193915,30.9002439,37.1559535,17.89999962,4.09514723,13.42856173,"genus","multi",20,28,"TL","","",""
"Heterocampa subrotata","Heterocampa subrotata",41.9707003,31.5065689,36.7436565,18.29583454,4.069432002,13.94077377,"Genus","multi",16,20,"TL","p","",""
"Heterocampa umbrata","Heterocampa umbrata",45.9223264,30.1390269,40.707616,23.40416741,5.816814719,11.22348829,"Genus","multi",23,33,"TL","p","",""
"Homophoberia apicosa","Neoerastria apicosa",44.7731461,29.9847184,38.523704,19.83333206,5.245450737,13.12871821,"species","multi",11,13,"TL","","",""
"Homophoberia cristata","Homophoberia cristata",42.8047534,38.8267073,41.382,20.36666727,3.480620625,10.54507112,"Species","uni",14,17,"TL","p","",""
"Hypagyrtis esther","Hypagyrtis esther",43.81992,32.4937221,36.5268065,23.41250062,4.339889143,13.03936519,"Genus","multi",25,45,"WS","p","",""
"Hypagyrtis unipunctata","Hypagyrtis unipunctata",44.2671554,32.878554,39.270316,19.93749988,3.935270488,11.87780262,"multiFamily","multi",20,47,"WS","","",""
"Hyparpax perophoroides","Hyparpax perophoroides",31.36417,27.182366,28.6581875,4.766666412,1.469756755,21.11678937,"Genus","multi",17,19,"TL","p","",""
"Hypena baltimoralis","Hypena baltimoralis",45.3337967,34.6959214,41.4306835,21.40416694,3.907190646,9.968603588,"Genus","multi",16,18,"TL","p","missing?",""
"Hypena degesalis","Hypena degesalis",32.6470296,26.31365,29.748272,11.4375,2.179809593,20.35991382,"unk","uni",12,14,"TL","p","",""
"Hypena manalis","Hypena manalis",44.4207616,32.521389,40.349937,19.66666555,4.305004725,11.54448444,"Species","multi",13,16,"TL","p","",""
"Hypena palparia","Hypena palparia",46.836354,32.788461,41.420969,20.89999969,5.292442773,10.45625572,"multiFamily","multi",15,19,"TL","","",""
"Hypenula cacuminalis","Hypenula cacuminalis",31.5413706,25.9919044,29.669008,18.53750038,3.078124185,20.0171035,"detritus","multi",15,16,"TL","","",""
"Hypomecis umbrosaria","Hypomecis umbrosaria",40.2601066,30.8172804,34.105221,12.78333378,3.031172385,15.34152942,"multiFamily","multi",26,40,"WS","","",""
"Hypoprepia fucosa","Hypoprepia fucosa",45.549857,31.5821045,42.1834575,22.41666681,5.032696252,10.29952678,"multiFamily","multi",14,18,"TL","","",""
"Hypoprepia miniata","Hypoprepia miniata",47.3248389,31.8107108,40.0888175,26.74166775,5.204428765,10.83084323,"multiFamily","multi",15,21,"TL","p","",""
"Hypsopygia nostralis","Hypsopygia nostralis",58.359624,32.574267,46.873225,35.13333321,4.411226669,10.57007698,"unk","multi",10,12,"TL","p","",""
"Hypsopygia binodulalis","Hypsopygia binodulalis",41.0300322,29.6766152,33.411658,21.54166698,4.047265816,15.93818584,"unk","multi",10,12,"TL","p","",""
"Hypsoropha hormos","Hypsoropha hormos",38.9544407,30.3978789,34.95079,17.12916708,2.640154434,15.74477252,"Genus","multi",14,18,"TL","p","",""
"Hypsoropha monilis","Hypsoropha monilis",36.0933104,30.2926357,33.1444545,10.53750038,2.096845184,17.04113598,"Genus","uni",17,22,"TL","p","",""
"Idaea tacturata","Idaea tacturata",33.6291271,28.557051,30.697359,23.15833378,2.300925719,19.05624386,"unk","multi",13,21,"TL","p","",""
"Idia aemula","Idia aemula",45.3626262,32.8569922,41.144574,27.9958334,4.561419095,10.77581604,"detritus","multi",13,14,"TL","","",""
"Idia americalis","Idia americalis",46.770346,32.795998,41.426884,25.50833344,4.802906502,10.44586943,"detritus","multi",13,14,"TL","","",""
"Idia julia","Idia julia",44.35763626,33.2629622,38.833017,18.80416584,3.875420042,12.50840412,"multiFamily","multi",11,13,"TL","p","",""
"Idia lubricalis","Idia lubricalis",45.3053658,33.0608002,42.160645,23.56666666,4.377398242,9.998956772,"detritus","multi",18,21,"TL","","",""
"Idia rotundalis","Idia rotundalis",46.2082514,33.1731388,42.3401965,22.16250002,4.866430816,10.06374996,"detritus","multi",11,13,"TL","","",""
"Ilexia intractata","Ilexia intractata",39.1623745,30.3558056,34.740742,15.70833397,3.049201484,15.82888364,"Genus","multi",22,25,"WS","p","",""
"Iodopepla u-album","Iodopepla ualbum",45.1357858,30.3536736,41.381,19.20416689,5.676301748,11.84856005,"Genus","multi",18,18,"TL","p","missing?","Iodopepla ualbum"
"Iridopsis defectaria","Iridopsis defectaria",39.11221,27.6692552,32.71966,22.14166784,3.682184624,17.3048513,"multiFamily","multi",24,36,"WS","","",""
"Iridopsis vellivolata","Iridopsis vellivolata",45.3740762,31.474398,39.627119,22.70416629,5.166302725,11.91690976,"Family","multi",30,36,"WS","","",""
"Isa textua","Isa textula",43.132181,30.5883,39.035638,18.04999971,4.210315088,12.74030137,"multiFamily","multi",9,16,"TL","p","missing?","Isa textula"
"Isogona tenuis","Isogona tenuis",39.056334,29.163844,32.673707,19.06249905,3.411528247,17.40302371,"Genus","multi",13,16,"TL","p","",""
"Isturgia dislocaria","Isturgia dislocaria",39.0939726,29.3820479,30.4545605,17.80833435,3.393414301,18.13721003,"Genus","uni",30,38,"WS","p","",""
"Lacosoma chiridota","Lacosoma chiridota",42.5792326,30.5913876,36.99374,16.09583282,4.060054358,13.75633948,"Genus","multi",20,32,"WS","p","",""
"Lambdina pultaria","Lambdina pultaria",33.0943888,28.5974432,29.668889,5.883333206,1.854357635,19.68377194,NA,"uni",NA,NA,NA,"p","","Ellopia pultaria"
"Lapara coniferarum","Lapara coniferarum",40.085478,29.7223764,35.07731,17.41250086,3.7963853,15.51158019,"Genus","multi",30,35,"TL","p","",""
"Lascoria ambigualis","Lascoria ambigualis",44.2321116,32.835154,39.524503,20.03750014,3.954305569,11.27860857,"multiFamily","multi",12,14,"TL","p","",""
"Ledaea perditalis","Spargaloma perditalis",43.4316128,30.2903912,38.21972,19.0291667,4.832402994,13.22691955,"Species","multi",13,16,"TL","p","",""
"Lesmone detrahens","Lesmone detrahens",38.240116,28.535761,32.964854,19.66666651,3.570592982,17.40205592,"Genus","multi",27,31,"WS","p","",""
"Leucania adjuta","Leucania adjuta",39.2058111,27.5720209,32.9588005,18.97916555,4.263390243,17.05715636,"Family","multi",18,20,"TL","","",""
"Leucania incognita","Leucania incognita",32.336755,26.159806,28.028619,21.78333282,2.665869147,20.76861625,"multiFamily","multi",18,21,"TL","p","",""
"Leucanopsis longa","Leucanopsis longa",35.438876,27.183236,32.2678695,10.5666666,3.022293744,18.81318658,"Family","multi",22,25,"TL","","",""
"Lithacodes gracea","Lithacodes gracea",32.6046885,26.1751172,30.179032,7.795833588,2.14576061,20.37312498,"unk","multi",12,14,"TL","p","",""
"Litoprosopus futilis","Litoprosopus futilis",32.7944278,26.1809074,28.376774,17.79166603,2.161865756,21.10004473,"Genus","multi",22,25,"TL","p","",""
"Lobocleta ossularia","Lobocleta ossularia",38.0975658,27.649033,31.448202,18.03749943,3.242763427,17.98302538,"multiFamily","multi",13,19,"WS","p","missing?",""
"Lochmaeus bilineata","Lochmaeus bilineata",44.3259537,30.0954042,35.096803,20.89166665,4.995421294,14.25351541,"multiFamily","multi",18,23,"TL","","",""
"Lochmaeus manteo","Lochmaeus manteo",44.2544777,30.5445191,37.4288285,21.85416663,4.581155071,12.9211291,"Family","multi",20,27,"TL","","",""
