Site,eventDate,Family,Genus,Species,imageName,scientificName,validName
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9655.jpg,NA NA,NA NA
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9656.jpg,NA NA,NA NA
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9657.jpg,NA NA,NA NA
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9658.jpg,NA NA,NA NA
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9742.jpg,NA NA,NA NA
Baca,6/22/2019,cantID,NA,NA,BACA_2019-06-22_9743.jpg,NA NA,NA NA
Cofr,3/31/2019,cantID,NA,NA,COFR_2019-03-31_6103.jpg,NA NA,NA NA
Cofr,3/31/2019,cantID,NA,NA,COFR_2019-03-31_6104.jpg,NA NA,NA NA
Cofr,4/21/2019,cantID,NA,NA,COFR_2019-04-21_6531.jpg,NA NA,NA NA
Cofr,NA,cantID,NA,NA,COFR_2019-04-21_6532.jpg,NA NA,NA NA
Cofr,NA,cantID,NA,NA,COFR_2019-04-21_6533.jpg,NA NA,NA NA
Cofr,4/21/2019,cantID,NA,NA,COFR_2019-04-21_6534.jpg,NA NA,NA NA
Joma,3/31/2019,cantID,NA,NA,JOMA_2019-03-31_26443474.jpg,NA NA,NA NA
Joma,4/7/2019,cantID,NA,NA,JOMA_2019-04-07_7370.jpg,NA NA,NA NA
Joma,NA,cantID,NA,NA,JOMA_2019-04-07_7371.jpg,NA NA,NA NA
Joma,4/7/2019,cantID,NA,NA,JOMA_2019-04-07_7372.jpg,NA NA,NA NA
Joma,4/7/2019,cantID,NA,NA,JOMA_2019-04-07_7373.jpg,NA NA,NA NA
Joma,4/7/2019,cantID,NA,NA,JOMA_2019-04-07_7374.jpg,NA NA,NA NA
Joma,4/14/2019,cantID,NA,NA,JOMA_2019-04-14_6389.jpg,NA NA,NA NA
Joma,4/14/2019,cantID,NA,NA,JOMA_2019-04-14_6390.jpg,NA NA,NA NA
Joma,4/21/2019,cantID,NA,NA,JOMA_2019-04-21_26441895.jpg,NA NA,NA NA
Joma,5/4/2019,cantID,NA,NA,JOMA_2019-05-04_8540.jpg,NA NA,NA NA
Joma,5/4/2019,cantID,NA,NA,JOMA_2019-05-04_8541.jpg,NA NA,NA NA
Joma,5/4/2019,cantID,NA,NA,JOMA_2019-05-04_8572.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_328.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_329.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_330.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_331.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_332.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_333.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_334.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_335.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_336.jpg,NA NA,NA NA
Joma,6/22/2019,cantID,NA,NA,JOMA_2019-06-22_337.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_5956.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_5957.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_5960.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_5961.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_5962.jpg,NA NA,NA NA
Rist,3/16/2019,cantID,NA,NA,RIST_2019-03-16_8599.jpg,NA NA,NA NA
Rist,3/31/2019,cantID,NA,NA,RIST_2019-03-31_8127.jpg,NA NA,NA NA
Rist,3/31/2019,cantID,NA,NA,RIST_2019-03-31_8128.jpg,NA NA,NA NA
Rist,10/5/2019,cantID,NA,NA,RIST_2019-10-05_5273.jpg,NA NA,NA NA
Rist,10/5/2019,cantID,NA,NA,RIST_2019-10-05_5274.jpg,NA NA,NA NA
Rist,10/20/2019,cantID,NA,NA,RIST_2019-10-20_5013.jpg,NA NA,NA NA
Rist,10/20/2019,cantID,NA,NA,RIST_2019-10-20_5014.jpg,NA NA,NA NA
Rist,1/25/2020,cantID,NA,NA,RIST_2020-01-25_5365.jpg,NA NA,NA NA
Rist,1/25/2020,cantID,NA,NA,RIST_2020-01-25_5366.jpg,NA NA,NA NA
Rist,2/9/2020,cantID,NA,NA,RIST_2020-02-09_6697.jpg,NA NA,NA NA
Rist,2/9/2020,cantID,NA,NA,RIST_2020-02-09_6698.jpg,NA NA,NA NA
Auca,4/14/2019,Cossidae,Prionoxystus,robiniae,AUCA_2019-04-14_7242.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Auca,NA,Cossidae,Prionoxystus,robiniae,AUCA_2019-04-14_7243.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Auca,4/14/2019,Cossidae,Prionoxystus,robiniae,AUCA_2019-04-14_7244.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Auca,9/28/2019,Cossidae,Cossula,magnifica,AUCA_2019-09-28_5436.jpg,Cossula magnifica,Cossula magnifica
Auca,9/28/2019,Cossidae,Cossula,magnifica,AUCA_2019-09-28_5437.jpg,Cossula magnifica,Cossula magnifica
Auca,5/11/2019,Cossidae,Cossula,magnifica,AUCA_2019-05-11_9604.jpg,Cossula magnifica,Cossula magnifica
Auca,NA,Cossidae,Cossula,magnifica,AUCA_2019-05-11_9605.jpg,Cossula magnifica,Cossula magnifica
Auca,5/11/2019,Cossidae,Cossula,magnifica,AUCA_2019-05-11_9606.jpg,Cossula magnifica,Cossula magnifica
Rist,4/7/2019,Cossidae,Prionoxystus,robinae,RIST_2019-04-07_1455.jpg,Prionoxystus robinae,Prionoxystus robiniae
Rist,4/7/2019,Cossidae,Prionoxystus,robinae,RIST_2019-04-07_1456.jpg,Prionoxystus robinae,Prionoxystus robiniae
Rist,4/7/2019,Cossidae,Prionoxystus,robinae,RIST_2019-04-07_1457.jpg,Prionoxystus robinae,Prionoxystus robiniae
Rist,4/7/2019,Cossidae,Prionoxystus,robinae,RIST_2019-04-07_1458.jpg,Prionoxystus robinae,Prionoxystus robiniae
Prcr,4/14/2019,Cossidae,Prionoxystus,robiniae,PRCR_2019-04-14_1600.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Prcr,NA,Cossidae,Prionoxystus,robiniae,PRCR_2019-04-14_1601.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Prcr,4/14/2019,Cossidae,Prionoxystus,robiniae,PRCR_2019-04-14_1602.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Prcr,4/14/2019,Cossidae,Prionoxystus,robiniae,PRCR_2019-04-14_1603.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Prcr,4/14/2019,Cossidae,Prionoxystus,robiniae,PRCR_2019-04-14_1604.jpg,Prionoxystus robiniae,Prionoxystus robiniae
Auca,8/24/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-24_2945.jpg,Crambus satrapellus,Crambus satrapellus
Auca,8/24/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-24_2946.jpg,Crambus satrapellus,Crambus satrapellus
Auca,8/31/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-31_4311.jpg,Crambus satrapellus,Crambus satrapellus
Auca,8/31/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-31_4312.jpg,Crambus satrapellus,Crambus satrapellus
Auca,8/31/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-31_4392.jpg,Crambus satrapellus,Crambus satrapellus
Auca,8/31/2019,Crambidae,Crambus,satrapellus,AUCA_2019-08-31_4393.jpg,Crambus satrapellus,Crambus satrapellus
